dihydroxy_to_diepoxy_ratio,r,conversion_p,Xn,Xn_max_at_complete_conversion
0.96,0.96,0.95,14.412,49.0
0.96,0.96,0.98,25.0,49.0
0.96,0.96,0.99,33.108,49.0
0.96,0.96,0.995,39.516,49.0
0.96,0.96,0.999,46.756,49.0
0.96,0.96,1.0,49.0,49.0
0.97,0.97,0.95,15.512,65.667
0.97,0.97,0.98,28.634,65.667
0.97,0.97,0.99,39.879,65.667
0.97,0.97,0.995,49.622,65.667
0.97,0.97,0.999,61.678,65.667
0.97,0.97,1.0,65.667,65.667
0.98,0.98,0.95,16.78,99.0
0.98,0.98,0.98,33.446,99.0
0.98,0.98,0.99,50.0,99.0
0.98,0.98,0.995,66.443,99.0
0.98,0.98,0.999,90.164,99.0
0.98,0.98,1.0,99.0,99.0
0.99,0.99,0.95,18.257,199.0
0.99,0.99,0.98,40.121,199.0
0.99,0.99,0.99,66.779,199.0
0.99,0.99,0.995,100.0,199.0
0.99,0.99,0.999,166.11,199.0
0.99,0.99,1.0,199.0,199.0
1.0,1.0,0.95,20.0,infinite (ideal)
1.0,1.0,0.98,50.0,infinite (ideal)
1.0,1.0,0.99,100.0,infinite (ideal)
1.0,1.0,0.995,200.0,infinite (ideal)
1.0,1.0,0.999,1000.0,infinite (ideal)
1.0,1.0,1.0,infinite (ideal),infinite (ideal)
1.01,0.9900990099009901,0.95,18.273,201.0
1.01,0.9900990099009901,0.98,40.2,201.0
1.01,0.9900990099009901,0.99,67.0,201.0
1.01,0.9900990099009901,0.995,100.5,201.0
1.01,0.9900990099009901,0.999,167.5,201.0
1.01,0.9900990099009901,1.0,201.0,201.0
1.02,0.9803921568627451,0.95,16.833,101.0
1.02,0.9803921568627451,0.98,33.667,101.0
1.02,0.9803921568627451,0.99,50.5,101.0
1.02,0.9803921568627451,0.995,67.333,101.0
1.02,0.9803921568627451,0.999,91.818,101.0
1.02,0.9803921568627451,1.0,101.0,101.0
1.03,0.970873786407767,0.95,15.615,67.667
1.03,0.970873786407767,0.98,29.0,67.667
1.03,0.970873786407767,0.99,40.6,67.667
1.03,0.970873786407767,0.995,50.75,67.667
1.03,0.970873786407767,0.999,63.437,67.667
1.03,0.970873786407767,1.0,67.667,67.667
1.04,0.9615384615384615,0.95,14.571,51.0
1.04,0.9615384615384615,0.98,25.5,51.0
1.04,0.9615384615384615,0.99,34.0,51.0
1.04,0.9615384615384615,0.995,40.8,51.0
1.04,0.9615384615384615,0.999,48.571,51.0
1.04,0.9615384615384615,1.0,51.0,51.0
