r,conversion,theoretical_Xn,simulated_mean_chain_units,reactions
1.0,0.95,19.999999999999982,20.0,4750
1.0,0.98,49.99999999999996,50.0,4900
1.0,0.99,99.99999999999991,100.0,4950
1.0,0.995,199.99999999999983,200.0,4975
0.99,0.95,18.256880733944957,18.272727272727273,4750
0.99,0.98,40.12096774193541,40.2,4900
0.99,0.99,66.77852348993278,67.0,4950
0.99,0.995,99.99999999999986,100.5,4975
0.98,0.95,16.779661016949138,16.780730897009967,4750
0.98,0.98,33.445945945945866,33.450331125827816,4900
0.98,0.99,49.9999999999999,50.00990099009901,4950
0.98,0.995,66.44295302013411,66.46052631578948,4975
0.97,0.95,15.511811023622046,15.525993883792049,4750
0.97,0.98,28.63372093023257,28.683615819209038,4900
0.97,0.99,39.87854251012137,39.976377952755904,4950
0.97,0.995,49.6221662468513,49.77450980392157,4975
