value,orthography,pronunciation_segments,morphemes,syllable_count,place_order,spoken_order,hinge_kind,hinge_count,binary,popcount,pulse_match
0,nul,nul,nul,1,0,0,none,0,0,0,False
1,een,een,een,1,1,1,none,0,1,1,True
2,twee,twee,twee,1,2,2,none,0,10,1,True
3,drie,drie,drie,1,3,3,none,0,11,2,False
4,vier,vier,vier,1,4,4,none,0,100,1,True
5,vijf,vijf,vijf,1,5,5,none,0,101,2,False
6,zes,zes,zes,1,6,6,none,0,110,2,False
7,zeven,ze | ven,zeven,2,7,7,none,0,111,3,False
8,acht,acht,acht,1,8,8,none,0,1000,1,True
9,negen,ne | gen,negen,2,9,9,none,0,1001,2,True
10,tien,tien,tien,1,10,10,none,0,1010,2,False
11,elf,elf,elf,1,11,11,irregular,0,1011,3,False
12,twaalf,twaalf,twaalf,1,12,12,irregular,0,1100,2,False
13,dertien,der | tien,drie | tien,2,10 | 3,3 | tien,teen_suffix,1,1101,3,False
14,veertien,veer | tien,vier | tien,2,10 | 4,4 | tien,teen_suffix,1,1110,3,False
15,vijftien,vijf | tien,vijf | tien,2,10 | 5,5 | tien,teen_suffix,1,1111,4,False
16,zestien,zes | tien,zes | tien,2,10 | 6,6 | tien,teen_suffix,1,10000,1,False
17,zeventien,ze | ven | tien,zeven | tien,3,10 | 7,7 | tien,teen_suffix,1,10001,2,False
18,achttien,acht | tien,acht | tien,2,10 | 8,8 | tien,teen_suffix,1,10010,2,True
19,negentien,ne | gen | tien,negen | tien,3,10 | 9,9 | tien,teen_suffix,1,10011,3,True
20,twintig,twin | tig,twintig,2,20,20,none,0,10100,2,True
21,eenentwintig,een | en | twin | tig,een | en | twintig,4,20 | 1,1 | en | 20,en_connector,1,10101,3,False
22,tweeëntwintig,twee | en | twin | tig,twee | en | twintig,4,20 | 2,2 | en | 20,en_connector,1,10110,3,False
23,drieëntwintig,drie | en | twin | tig,drie | en | twintig,4,20 | 3,3 | en | 20,en_connector,1,10111,4,True
24,vierentwintig,vier | en | twin | tig,vier | en | twintig,4,20 | 4,4 | en | 20,en_connector,1,11000,2,False
25,vijfentwintig,vijf | en | twin | tig,vijf | en | twintig,4,20 | 5,5 | en | 20,en_connector,1,11001,3,False
26,zesentwintig,zes | en | twin | tig,zes | en | twintig,4,20 | 6,6 | en | 20,en_connector,1,11010,3,False
27,zevenentwintig,ze | ven | en | twin | tig,zeven | en | twintig,5,20 | 7,7 | en | 20,en_connector,1,11011,4,False
28,achtentwintig,acht | en | twin | tig,acht | en | twintig,4,20 | 8,8 | en | 20,en_connector,1,11100,3,False
