value,orthography,syllable_count,binary,popcount,hinge_kind
1,een,1,1,1,none
2,twee,1,10,1,none
4,vier,1,100,1,none
8,acht,1,1000,1,none
9,negen,2,1001,2,none
18,achttien,2,10010,2,teen_suffix
19,negentien,3,10011,3,teen_suffix
20,twintig,2,10100,2,none
23,drieëntwintig,4,10111,4,en_connector
40,veertig,2,101000,2,none
43,drieënveertig,4,101011,4,en_connector
45,vijfenveertig,4,101101,4,en_connector
46,zesenveertig,4,101110,4,en_connector
47,zevenenveertig,5,101111,5,en_connector
51,eenenvijftig,4,110011,4,en_connector
53,drieënvijftig,4,110101,4,en_connector
54,vierenvijftig,4,110110,4,en_connector
58,achtenvijftig,4,111010,4,en_connector
59,negenenvijftig,5,111011,5,en_connector
70,zeventig,3,1000110,3,none
80,tachtig,2,1010000,2,none
83,drieëntachtig,4,1010011,4,en_connector
85,vijfentachtig,4,1010101,4,en_connector
86,zesentachtig,4,1010110,4,en_connector
87,zevenentachtig,5,1010111,5,en_connector
91,eenennegentig,5,1011011,5,en_connector
93,drieënnegentig,5,1011101,5,en_connector
94,vierennegentig,5,1011110,5,en_connector
