output_position_msb0,output_bit,field,source_bit
0,63,rho,19
1,62,theta,17
2,61,time,13
3,60,phi,11
4,59,rho,18
5,58,theta,16
6,57,time,12
7,56,phi,10
8,55,rho,17
9,54,theta,15
10,53,time,11
11,52,phi,9
12,51,rho,16
13,50,theta,14
14,49,time,10
15,48,phi,8
16,47,rho,15
17,46,theta,13
18,45,time,9
19,44,phi,7
20,43,rho,14
21,42,theta,12
22,41,time,8
23,40,phi,6
24,39,rho,13
25,38,theta,11
26,37,time,7
27,36,phi,5
28,35,rho,12
29,34,theta,10
30,33,time,6
31,32,phi,4
32,31,rho,11
33,30,theta,9
34,29,time,5
35,28,phi,3
36,27,rho,10
37,26,theta,8
38,25,time,4
39,24,phi,2
40,23,rho,9
41,22,theta,7
42,21,time,3
43,20,phi,1
44,19,rho,8
45,18,theta,6
46,17,time,2
47,16,phi,0
48,15,rho,7
49,14,theta,5
50,13,time,1
51,12,rho,6
52,11,theta,4
53,10,time,0
54,9,rho,5
55,8,theta,3
56,7,rho,4
57,6,theta,2
58,5,rho,3
59,4,theta,1
60,3,rho,2
61,2,theta,0
62,1,rho,1
63,0,rho,0
