address,confirmed_balance_sats,confirmed_balance_btc,mempool_delta_sats,balance_including_mempool_sats,balance_including_mempool_btc,chain_tx_count,balance_status,error
125p82eJZV4GuRaeBsoXjnaiZx2wkWTkNE,0,0.0,0,0,0.0,3,retrieved,
125ycExUXrps7Zh5YJGwnwWPWzHhw8dnmQ,2735,2.735e-05,0,2735,2.735e-05,2474,retrieved,
12F1by7kvEBgJXBQvh18irKCbCVcUiCKKh,0,0.0,0,0,0.0,2,retrieved,
12JaHqWSB9zpkPFdwuxfv9LBmB4aKi6JM9,0,0.0,0,0,0.0,2,retrieved,
12R5nUwpeiKCszftWmGGj4pjimW7kcYVfB,0,0.0,0,0,0.0,9,retrieved,
12SfWVTzbH3x3snciVoiYhnzyodDBZABb5,0,0.0,0,0,0.0,1429,retrieved,
12XVxnbi5dXoqVqW5HjNr1irZjsJJUSvHV,0,0.0,0,0,0.0,2,retrieved,
12doTTUQsaNoPSfst9vfv8tfD8uQEsJhwh,0,0.0,0,0,0.0,4770,retrieved,
12hhDc7wUdbdsYX3mH9hCtNTv6LtdkpY69,0,0.0,0,0,0.0,4,retrieved,
132juwKv54j1h1hJMY8fJt9Cw3mYWbbhWG,0,0.0,0,0,0.0,34,retrieved,
13CRu1SrBWpTnqayuDnvGsHEh9qA6SaBKr,0,0.0,0,0,0.0,2,retrieved,
13FNCQzJjKHs4pg92Yg6CJozgZ57L8HfqC,0,0.0,0,0,0.0,20,retrieved,
13Qakcn5dS9x98NznGQgzpM5xEvdwcrQ6y,0,0.0,0,0,0.0,2,retrieved,
13n7KxR9ff4mMgMsv7nNb8twEkvcPqwunQ,0,0.0,0,0,0.0,48,retrieved,
13oRh8zYwKFuySF6Ex2UF6eoccXPtHMRWW,0,0.0,0,0,0.0,2,retrieved,
13tQufkQJEj88fr4zEup6xmZc2EXVBoAJh,0,0.0,0,0,0.0,2,retrieved,
14Dqvc5x2wT7A1jhS2SgYT76gy7gxdMPyx,0,0.0,0,0,0.0,984,retrieved,
14c4fxUfgfWCRw18miq3Gas1FemX8v1dLd,0,0.0,0,0,0.0,2,retrieved,
14mD2z3CqXN7Vgt5iV6TCkg8LpTngxmvUF,0,0.0,0,0,0.0,2,retrieved,
14wV3HT7XtuV92476EA1cfAc41A3p86Ree,0,0.0,0,0,0.0,44,retrieved,
154q4ZL7ZJB4Hkt4apTxAv48DB46azUYZw,0,0.0,0,0,0.0,2,retrieved,
156jjPFur2RJ6XffytGBbcSpqPHCsmEsAj,0,0.0,0,0,0.0,807,retrieved,
15LnVPGemkEMnqR2thHjBZJQ2wpYnhFZ3X,0,0.0,0,0,0.0,2,retrieved,
15Zzm2v6SfJhtDaNHJP1gGtvSqtJrGJyZW,0,0.0,0,0,0.0,1865,retrieved,
161dkK1PoVUfbn6NXrpf1UPHdf7Km9dvAD,0,0.0,0,0,0.0,571,retrieved,
16385XbVjYJrNiMzoccJu8BqFD7th2oKXf,0,0.0,0,0,0.0,2,retrieved,
1657x4tWot6R54UdatZWXqNQgLfpixi9CF,0,0.0,0,0,0.0,2,retrieved,
16LJtdegqwGsWd9EWVeXsZT6F8pdh82hVZ,0,0.0,0,0,0.0,2,retrieved,
16Tv3GFkdACqjFX4ab6FJjShUsdCKvUmy4,0,0.0,0,0,0.0,2,retrieved,
16TzV9v9NFFweYdEf8pSm7LtAPjZggomjK,0,0.0,0,0,0.0,2,retrieved,
16aNN28CZAzbr95oLLSM6nsudvuK1E7H1M,0,0.0,0,0,0.0,2,retrieved,
16mDrXMuaP2P5BSwLe3eGu7kTG4aqvh9Ku,0,0.0,0,0,0.0,2,retrieved,
1793WAQPSYvEKaiErznyXGwcYoidvjjUYj,0,0.0,0,0,0.0,2,retrieved,
17CzhyqsmXFKByFuDWWi728quGLK1K6iWX,0,0.0,0,0,0.0,2919,retrieved,
17FS7xL26S4NP3jKS2GD6JJ5NTtxaVLje1,0,0.0,0,0,0.0,2,retrieved,
17LCQBwKfoXUmstns5Syzuf4Nj4fS2yjTa,0,0.0,0,0,0.0,2,retrieved,
17YvB9sX4GdpLMs1zW2bcgjKTwSCb1N95K,0,0.0,0,0,0.0,2324,retrieved,
17ZD1NXdGuVSqzomoW3WE7c679ZnebbgWE,0,0.0,0,0,0.0,2,retrieved,
17eauAbFaNCbptsxJ7RAHT5HQThENKEXii,0,0.0,0,0,0.0,4744,retrieved,
17oZ1XTdD9UBrDzV2pVjHayMrvJ5f56wuM,0,0.0,0,0,0.0,2,retrieved,
17wjuqgGBATuvUoqCwneNnw6TdQzwiCeCj,0,0.0,0,0,0.0,2,retrieved,
17xaUSWQXUMQSeonvShfSDfCtoNoEX32ra,0,0.0,0,0,0.0,227,retrieved,
17zYNuTdXhQC7oJXaAAdtMADnXc97wyqoq,0,0.0,0,0,0.0,7414,retrieved,
18221t59HJc46h3MDPDXT1iy85zCYLGMED,0,0.0,0,0,0.0,2,retrieved,
184P61kAs6CY2zhjF2j2Ht5piktdxJFWF7,0,0.0,0,0,0.0,2,retrieved,
18BNrc1oxbjQpvwrX5WrY9pShuUxiocmPe,0,0.0,0,0,0.0,3,retrieved,
18HvU2z24EkHDt8RYX1CxijTcBDHJor9E7,0,0.0,0,0,0.0,5,retrieved,
18LxX4NzKMVTyu21sxru6Pe4JmkHswf1am,0,0.0,0,0,0.0,36,retrieved,
18M4CLxvncESU94jydGC53jXWhnU1gjRBM,0,0.0,0,0,0.0,2,retrieved,
18UFLS4HGpiRgAPDAyn78kQLJuVF4SYina,0,0.0,0,0,0.0,2,retrieved,
18hX5UujVhzXUzLSyuauXziAT7P2BfFRJZ,0,0.0,0,0,0.0,2586,retrieved,
18kxn9tkDqpUKy33xFJxCMQZwzhijcF1U3,0,0.0,0,0,0.0,2,retrieved,
18m5mUzMthanyfksk5WASicuxQYiysEuru,0,0.0,0,0,0.0,138,retrieved,
18oG7WuqjMeGkTFHDFijEDtDVTZpuY9JZQ,0,0.0,0,0,0.0,2,retrieved,
18xHTRqn7RDoYF58NXQNZtLDTBscc9o8Ge,0,0.0,0,0,0.0,294071,retrieved,
19PYtx5aeBGoFoa2QqKaq2Wqr2FLx5mMZL,0,0.0,0,0,0.0,230,retrieved,
19ZfSEMGGLbsnozL85S3ceJjaFpkmod8cu,0,0.0,0,0,0.0,2,retrieved,
19dWENixX8dL4Puw2GpreLb87XVXuT8dV9,0,0.0,0,0,0.0,12,retrieved,
19gSUNjurjur142c9XL65ZsoCYQubtyGuN,0,0.0,0,0,0.0,10797,retrieved,
19mcKRZQbe4V2JMnhaUM7PMxdpEFZKNKRV,0,0.0,0,0,0.0,7,retrieved,
19sfBqqSyZu9E673iTVCimQqUKwHVrNaHR,0,0.0,0,0,0.0,3215,retrieved,
1A47dmDeaZ5sexwmoQJ1KsSseA7n3pNzWQ,0,0.0,0,0,0.0,5,retrieved,
1AD91iU553aXuHWFKooQHRCkHgeaPwKQbT,0,0.0,0,0,0.0,60,retrieved,
1ADZaNzWCVLwoDg3LnvwLktU7qfJwdz66L,0,0.0,0,0,0.0,2,retrieved,
1AUXos7Kz3xCQTi8pfQK8JU3J9ZgbcgeNR,0,0.0,0,0,0.0,2,retrieved,
1AXz5kce2yosyokXBjGjUQbhD7QQLLbARn,0,0.0,0,0,0.0,26,retrieved,
1AeoYSfxGCHK5qVZqQwUSkr2M4BsZPbV8s,0,0.0,0,0,0.0,2,retrieved,
1AgCzbNU3BUtSjWPqKoX7Tnyf732P4HWg,0,0.0,0,0,0.0,174,retrieved,
1AgRs9ZJaNi1YyJEEhoRvS5XaY3affnNxN,0,0.0,0,0,0.0,2,retrieved,
1AhRxE7wkunpWN9zb1HcGS1P5vmSXPCgPt,0,0.0,0,0,0.0,1242,retrieved,
1AjxSjkNS8TdowyNDFzoWhqrTXwU6UHZyG,0,0.0,0,0,0.0,2,retrieved,
1AmuWt3o3gSPUmziZ6fQSh5xzNNkwkPBZF,0,0.0,0,0,0.0,2,retrieved,
1B4UkYMkm1bvZHHSdkCBYnwYWGVLaaSNqU,0,0.0,0,0,0.0,367,retrieved,
1BG2en1rzDp9NpxFjsxfvBMSF25S6SZApq,0,0.0,0,0,0.0,4155,retrieved,
1BMvHxZBb17GxSnomVkkfpRUHgxFQwojuj,0,0.0,0,0,0.0,2,retrieved,
1BVVwKEbocTBe6633N25Qy3M7Fobq4qbwN,0,0.0,0,0,0.0,10,retrieved,
1BopZfxhBDUWnxz3mF6YzRBjAu1iy2ju6g,0,0.0,0,0,0.0,42,retrieved,
1CAdFckxw4o1HbhHD6VZdP68RAURvi8mbC,7656,7.656e-05,0,7656,7.656e-05,11501,retrieved,
1CCfXrFYfg3Yg7WEqjhZEmcvgc8icZV7RF,0,0.0,0,0,0.0,8,retrieved,
1CPFYtk8rCBmeX4595zWmrYNo2twzK5K29,0,0.0,0,0,0.0,16155,retrieved,
1CRf5SY7vjvLMXEFEEscK9oefLUeAtPBwh,0,0.0,0,0,0.0,222,retrieved,
1D2cEmVpTQCL9sdjmVSfjgtxuHHSF7RFm4,0,0.0,0,0,0.0,163,retrieved,
1DGjJ4n2ELfiRGfvRhsevJnLyV1VXMSLsW,0,0.0,0,0,0.0,1394,retrieved,
1DoKHCH18HeaVh8jjJsHd1LxtsRNNLTicj,0,0.0,0,0,0.0,2,retrieved,
1E5AxP1QuQZ9fJ3kHnekEn9j2F7tyEyUmQ,0,0.0,0,0,0.0,1860,retrieved,
1EMhfzdvCVeR2ZVK88L8rVimZntkh1Yfu3,0,0.0,0,0,0.0,32,retrieved,
1EZmMZK9sZjCTpMu4xnMK6s7KWLbG1o1ei,0,0.0,0,0,0.0,2,retrieved,
1F7rFvzvKD5w6Ygo3VrTSmyRSmeKTjjWcP,0,0.0,0,0,0.0,6315,retrieved,
1FQjQf8Yyomkv3KfauQsgGGZXEPDFjDrws,0,0.0,0,0,0.0,106,retrieved,
1FRMdjeUwhthKR749rryMDNoq21Rr69UWW,0,0.0,0,0,0.0,3,retrieved,
1FdiHw774Bzp1EnVELeHPsbRTi3CKsbeZ1,0,0.0,0,0,0.0,1780,retrieved,
1FpcX2Db5KVZEmH7dj5dxzE51HeC7i6ac8,0,0.0,0,0,0.0,2,retrieved,
1FqnJrGWKSWi6cBKQdzpdoCr7J8W7GoKNy,0,0.0,0,0,0.0,18,retrieved,
