edge_type,from,to,from_outpoint,to_outpoint,spend_txid,value_sats,attributed_sats,method,depth
input_to_tx,3EKMtPc89gGsJHaCtcbWykT4zRLH6hTg9X,tx:fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,d445848655768732d521e9545a9c571e69c292500d6cf45a185775a2a8696533:2,,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,,6423410.0,proportional_after_commingling,0
tx_to_output,tx:fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,3P1h11TDnLu31PPFvukrUAfk8WhiJqQJNu,,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52:0,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,50000000,266212.23788144,proportional_after_commingling,1
tx_to_output,tx:fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,367JuH48WYTqy7LFBMMJ8LL5Mo72BQRMTu,,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52:1,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,1156431356,6157123.58474059,proportional_after_commingling,1
input_to_tx,3P1h11TDnLu31PPFvukrUAfk8WhiJqQJNu,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52:0,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,,266212.23788144,proportional_after_commingling,1
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,1YGs7wZPs3xSiEK1BxyAWMpCR9zAJkaJJ,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:0,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,2744000,90.73875266,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,3CFjJD1x4SwM3k2wP4bmu48imK71rBPPrT,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:1,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,2538000,83.9267326,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,37PJiMT2GzN1WRzoPF66y3ujHNhYpBcocZ,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:2,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,81225000,2685.95305576,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,161dkK1PoVUfbn6NXrpf1UPHdf7Km9dvAD,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:3,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,15727000,520.06135682,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,3Q3pwwKpQa6Kx6xu5ao5W6aHs6vF6ezMWa,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:4,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,37950000,1254.93282199,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,13n7KxR9ff4mMgMsv7nNb8twEkvcPqwunQ,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:5,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,67492000,2231.82940769,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,1BG2en1rzDp9NpxFjsxfvBMSF25S6SZApq,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:6,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,33162414,1096.61664783,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,1MTiyZNJM3m9Ka2xkC2j4VpJeH9wRaxqeR,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:7,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,26064000,861.88587806,proportional_after_commingling,2
tx_to_output,tx:74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,bc1qj0x8knaa65kv9ph7vk4fltqxs2pe0qj708h03c,,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314:8,74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,110680000,3659.97272036,proportional_after_commingling,2
