txid,block_time,block_height,input_sats,output_sats,fee_sats,tracked_input_sats,tracked_ratio,method,output_count,fanout_stop
fac1838dc39bc1b6e076ac1fb88c3b5024609edd0a69e9a37ad5d8c0fe28bd52,2020-06-05T11:34:59Z,633182,1206445288,1206431356,13932,6423410.0,0.0053242447576288265,proportional_after_commingling,2,False
74338458c2d2abadf614b138fdae93e1cf4fbecb84f23df348770bad14d44314,2020-07-08T08:29:19Z,638264,8050434454,8049938965,495489,266212.23788144,3.306805855045116e-05,proportional_after_commingling,12,False
549a3ba35379eb882e58ac2c2eba8d35e7fe6b846d3c8e518770863a691fa323,2020-07-04T16:00:56Z,637684,1156431356,1156423796,7560,6157123.58474059,0.0053242447576288265,proportional_after_commingling,2,False
e560f87de6d039820a997f399515cb141af6750e6365c503d264ec609170723a,2020-07-08T09:05:26Z,638267,1883726369,1883623419,102950,2685.95305576,1.4258721967067157e-06,proportional_after_commingling,11,False
083ccdfda085a6f369ec0318b1300dce028377028682ac2f4f0d9579f5551916,2020-07-08T14:03:52Z,638300,5069451043,5069085763,365280,1254.93282199,2.475480700661777e-07,proportional_after_commingling,2,False
789f67cfb82109555ace20bd211007b3c7a097d108876149a0e7d64e75ba3d8d,2020-07-08T20:40:53Z,638347,669261547,669224949,36598,2231.82940769,3.334764140703051e-06,proportional_after_commingling,2,False
611ec76032d3f3216adf6fbcde343e2d6dfaa9c735dc4a19ab7c69ca15ae55af,2020-07-08T14:30:52Z,638304,6491624706,6491341877,282829,1096.61664783,1.6892791827795186e-07,proportional_after_commingling,2,False
5c901f8b430acad8f30aafc3ee033ab6d3697bc08b6b9f25c62f0b5c46f8e997,2020-07-08T08:29:19Z,638264,110680000,110676496,3504,3659.97272036,3.306805855045116e-05,proportional_after_commingling,2,False
54c18abca826d0f505013f3e51cbc5858083127393f35ff746a65516f1b25d76,2020-07-08T09:15:06Z,638269,7644210551,7644192455,18096,252779.20207244,3.306805855045116e-05,proportional_after_commingling,17,False
e31d95e77cb69458f8e31c94430808c099ac7269b0733b1f2ada232362f41690,2020-09-19T15:23:15Z,649087,40401122558,40399802036,1320522,532424.47576288,1.3178457479703245e-05,proportional_after_commingling,17,False
cfd2687489ad230d4fc6de3cd5f322e6451877e8564bbfd0bb8f76d0835ef317,2021-03-12T16:13:55Z,674306,1056423796,1056408340,15456,5624658.85768734,0.0053242447576288265,proportional_after_commingling,2,False
b441094f6a625122bc31f9ee85b30bf39366f6025d13184688f3ea574b73c89d,2020-07-08T09:05:26Z,638267,1552010154,1551988629,21525,1361.70794785,8.773834013555774e-07,proportional_after_commingling,2,False
6a23ce11014a6e1d04c0ed823cb88696a09d6307a9b6b4a772e997451010e680,2020-07-08T20:33:50Z,638346,5269608726,5269372046,236680,1237.74035033,2.3488278061783525e-07,proportional_after_commingling,142,True
de60247d236654956a2dd0366b51cfcc197d6431ae778f5e877347038132c1af,2020-07-10T01:05:52Z,638537,4294724260,4294674129,50131,2228.78961344,5.189598862486423e-07,proportional_after_commingling,2,False
1805c25df0ecf3334cd2f95e3081799ce95bd701c141bc1c9c9c967408f890c1,2020-07-08T16:53:05Z,638318,8099965094,8099678194,286900,1096.44770808,1.3536449791558435e-07,proportional_after_commingling,72,True
2e08edf52c5583ffe041384139c6a8157d1039600cbfb3d2a4b01539833f60e4,2020-11-06T12:43:51Z,655674,108480096,108444472,35624,3587.22616609,3.306805855045116e-05,proportional_after_commingling,2,False
17cae76053a93e92726334fe1978e379fe8f57127a3c07f6a58b67c352979024,2020-07-13T12:47:47Z,639082,52998232501,52996814469,1418032,3066.50027356,5.7860425317035376e-08,proportional_after_commingling,1,False
c94fd84bd662ceb1e527506530fddd2babb6eaf31e7c8880d94cb1c49269d011,2020-07-08T09:21:03Z,638270,500014004,500000000,14004,4790.70191444,9.581135480433586e-06,proportional_after_commingling,1,False
521af4956a02684c0bc10346930815011408bff5cddc20b4c43134e40ff8a9fd,2020-07-08T09:25:12Z,638271,1249322746,1249261679,61067,10274.52052106,8.224072245504136e-06,proportional_after_commingling,11,False
ee3a697d2fec5f63e5ea35c4604bd8425b1e4074ad5a279756c5a443c8c54532,2020-07-08T10:17:39Z,638277,61770000,61762285,7715,2042.61397666,3.306805855045116e-05,proportional_after_commingling,2,False
9f32d65d569f7039819b7ca9a296ecd9f9708babdae9b51a5317d299d1702f80,2020-07-13T09:33:30Z,639060,53002975833,53002071721,904112,10071.04257183,1.9000900258061273e-07,proportional_after_commingling,1,False
469434067471c78f6e49345ddbef561a6ccaf5cf58d26f0e26ea0c3a84d4576d,2020-07-08T09:21:03Z,638270,601810786,601804594,6192,19839.18172734,3.296581282500173e-05,proportional_after_commingling,2,False
17c17380debb748f3db241465477a29a5d806e96228d5491719ecd55eece90d4,2020-08-08T16:43:57Z,642799,725950000,725931296,18704,24005.7571047,3.306805855045116e-05,proportional_after_commingling,2,False
66616e01730dab3a4cbaf2abf4b4a44dd1ee78d67b4b18c28a08b4b94e107387,2020-07-08T10:17:39Z,638277,743705250,743637253,67997,2081.63428575,2.7990044251414122e-06,proportional_after_commingling,2,False
