molecule,atom_index,element,atomic_number,formal_charge,aromatic,hybridization,implicit_hydrogens,degree
dmt,0,C,6,0,False,SP3,3,1
dmt,1,N,7,0,False,SP3,0,3
dmt,2,C,6,0,False,SP3,3,1
dmt,3,C,6,0,False,SP3,2,2
dmt,4,C,6,0,False,SP3,2,2
dmt,5,C,6,0,True,SP2,0,3
dmt,6,C,6,0,True,SP2,1,2
dmt,7,N,7,0,True,SP2,1,2
dmt,8,C,6,0,True,SP2,0,3
dmt,9,C,6,0,True,SP2,1,2
dmt,10,C,6,0,True,SP2,1,2
dmt,11,C,6,0,True,SP2,1,2
dmt,12,C,6,0,True,SP2,1,2
dmt,13,C,6,0,True,SP2,0,3
tryptamine,0,N,7,0,False,SP3,2,1
tryptamine,1,C,6,0,False,SP3,2,2
tryptamine,2,C,6,0,False,SP3,2,2
tryptamine,3,C,6,0,True,SP2,0,3
tryptamine,4,C,6,0,True,SP2,1,2
tryptamine,5,N,7,0,True,SP2,1,2
tryptamine,6,C,6,0,True,SP2,0,3
tryptamine,7,C,6,0,True,SP2,1,2
tryptamine,8,C,6,0,True,SP2,1,2
tryptamine,9,C,6,0,True,SP2,1,2
tryptamine,10,C,6,0,True,SP2,1,2
tryptamine,11,C,6,0,True,SP2,0,3
indole,0,C,6,0,True,SP2,1,2
indole,1,C,6,0,True,SP2,1,2
indole,2,C,6,0,True,SP2,1,2
indole,3,C,6,0,True,SP2,0,3
indole,4,N,7,0,True,SP2,1,2
indole,5,C,6,0,True,SP2,1,2
indole,6,C,6,0,True,SP2,1,2
indole,7,C,6,0,True,SP2,0,3
indole,8,C,6,0,True,SP2,1,2
glycerol,0,O,8,0,False,SP3,1,1
glycerol,1,C,6,0,False,SP3,2,2
glycerol,2,C,6,0,False,SP3,1,3
glycerol,3,O,8,0,False,SP3,1,1
glycerol,4,C,6,0,False,SP3,2,2
glycerol,5,O,8,0,False,SP3,1,1
water,0,O,8,0,False,SP3,2,0
dimethylamine,0,C,6,0,False,SP3,3,1
dimethylamine,1,N,7,0,False,SP3,1,2
dimethylamine,2,C,6,0,False,SP3,3,1
