molecule,bond_index,atom_i,atom_j,bond_type,bond_order,aromatic,conjugated,in_ring
dmt,0,0,1,SINGLE,1.0,False,False,False
dmt,1,1,2,SINGLE,1.0,False,False,False
dmt,2,1,3,SINGLE,1.0,False,False,False
dmt,3,3,4,SINGLE,1.0,False,False,False
dmt,4,4,5,SINGLE,1.0,False,False,False
dmt,5,5,6,AROMATIC,1.5,True,True,True
dmt,6,6,7,AROMATIC,1.5,True,True,True
dmt,7,7,8,AROMATIC,1.5,True,True,True
dmt,8,8,9,AROMATIC,1.5,True,True,True
dmt,9,9,10,AROMATIC,1.5,True,True,True
dmt,10,10,11,AROMATIC,1.5,True,True,True
dmt,11,11,12,AROMATIC,1.5,True,True,True
dmt,12,12,13,AROMATIC,1.5,True,True,True
dmt,13,13,5,AROMATIC,1.5,True,True,True
dmt,14,13,8,AROMATIC,1.5,True,True,True
tryptamine,0,0,1,SINGLE,1.0,False,False,False
tryptamine,1,1,2,SINGLE,1.0,False,False,False
tryptamine,2,2,3,SINGLE,1.0,False,False,False
tryptamine,3,3,4,AROMATIC,1.5,True,True,True
tryptamine,4,4,5,AROMATIC,1.5,True,True,True
tryptamine,5,5,6,AROMATIC,1.5,True,True,True
tryptamine,6,6,7,AROMATIC,1.5,True,True,True
tryptamine,7,7,8,AROMATIC,1.5,True,True,True
tryptamine,8,8,9,AROMATIC,1.5,True,True,True
tryptamine,9,9,10,AROMATIC,1.5,True,True,True
tryptamine,10,10,11,AROMATIC,1.5,True,True,True
tryptamine,11,11,3,AROMATIC,1.5,True,True,True
tryptamine,12,11,6,AROMATIC,1.5,True,True,True
indole,0,0,1,AROMATIC,1.5,True,True,True
indole,1,1,2,AROMATIC,1.5,True,True,True
indole,2,2,3,AROMATIC,1.5,True,True,True
indole,3,3,4,AROMATIC,1.5,True,True,True
indole,4,4,5,AROMATIC,1.5,True,True,True
indole,5,5,6,AROMATIC,1.5,True,True,True
indole,6,6,7,AROMATIC,1.5,True,True,True
indole,7,7,8,AROMATIC,1.5,True,True,True
indole,8,8,0,AROMATIC,1.5,True,True,True
indole,9,7,3,AROMATIC,1.5,True,True,True
glycerol,0,0,1,SINGLE,1.0,False,False,False
glycerol,1,1,2,SINGLE,1.0,False,False,False
glycerol,2,2,3,SINGLE,1.0,False,False,False
glycerol,3,2,4,SINGLE,1.0,False,False,False
glycerol,4,4,5,SINGLE,1.0,False,False,False
dimethylamine,0,0,1,SINGLE,1.0,False,False,False
dimethylamine,1,1,2,SINGLE,1.0,False,False,False
