molecule,bond_index,atom_i,atom_j,bond_type,bond_order,aromatic,conjugated,in_ring
dmt,0,0,1,SINGLE,1.0,False,False,False
dmt,1,1,2,SINGLE,1.0,False,False,False
dmt,2,1,3,SINGLE,1.0,False,False,False
dmt,3,3,4,SINGLE,1.0,False,False,False
dmt,4,4,5,SINGLE,1.0,False,False,False
dmt,5,5,6,AROMATIC,1.5,True,True,True
dmt,6,6,7,AROMATIC,1.5,True,True,True
dmt,7,7,8,AROMATIC,1.5,True,True,True
dmt,8,8,9,AROMATIC,1.5,True,True,True
dmt,9,9,10,AROMATIC,1.5,True,True,True
dmt,10,10,11,AROMATIC,1.5,True,True,True
dmt,11,11,12,AROMATIC,1.5,True,True,True
dmt,12,12,13,AROMATIC,1.5,True,True,True
dmt,13,13,5,AROMATIC,1.5,True,True,True
dmt,14,13,8,AROMATIC,1.5,True,True,True
