norad_id,prn,samples,rms_position_error_km,max_position_error_km,name
26407,22,29,22.716787264,25.383352647,"GPS BIIR-5  (PRN 22)"
27663,16,29,23.592334430,31.752359416,"GPS BIIR-8  (PRN 16)"
28190,19,29,18.510308537,26.756842313,"GPS BIIR-11 (PRN 19)"
28474,2,29,13.073632799,16.235086219,"GPS BIIR-13 (PRN 02)"
28874,17,29,18.320200783,25.216628240,"GPS BIIRM-1 (PRN 17)"
29486,31,29,15.433494197,22.662583162,"GPS BIIRM-2 (PRN 31)"
29601,12,29,24.600764936,36.175327795,"GPS BIIRM-3 (PRN 12)"
32260,15,29,21.108281329,33.267407892,"GPS BIIRM-4 (PRN 15)"
32384,29,29,15.639796561,18.415408934,"GPS BIIRM-5 (PRN 29)"
32711,7,29,15.136913617,22.786741710,"GPS BIIRM-6 (PRN 07)"
35752,5,29,13.584879038,18.003530512,"GPS BIIRM-8 (PRN 05)"
36585,25,29,24.289674031,33.916235960,"GPS BIIF-1  (PRN 25)"
38833,24,29,12.268534271,13.525738460,"GPS BIIF-3  (PRN 24)"
39166,27,29,16.932204028,27.163254279,"GPS BIIF-4  (PRN 27)"
39533,30,29,13.233559155,17.890151333,"GPS BIIF-5  (PRN 30)"
39741,6,29,11.796556649,15.340615204,"GPS BIIF-6  (PRN 06)"
40105,9,29,17.151696115,24.140416905,"GPS BIIF-7  (PRN 09)"
40294,3,29,15.861980120,21.877044349,"GPS BIIF-8  (PRN 03)"
40534,26,29,20.539858995,29.560016473,"GPS BIIF-9  (PRN 26)"
40730,8,29,16.110189598,27.488226406,"GPS BIIF-10 (PRN 08)"
41019,10,29,10.819686326,14.358126363,"GPS BIIF-11 (PRN 10)"
41328,32,29,18.209123163,29.937937376,"GPS BIIF-12 (PRN 32)"
43873,4,29,16.952058674,23.160427440,"GPS BIII-1  (PRN 04)"
44506,18,29,14.362326375,21.706491814,"GPS BIII-2  (PRN 18)"
45854,23,29,13.613041263,17.989039768,"GPS BIII-3  (PRN 23)"
46826,14,29,21.993789828,26.625891709,"GPS BIII-4  (PRN 14)"
48859,11,29,11.669280275,18.526297344,"GPS BIII-5  (PRN 11)"
55268,28,29,15.252457673,24.538542942,"GPS BIII-6  (PRN 28)"
62339,1,29,14.344759164,21.705980915,"GPS BIII-7  (PRN 01)"
64202,21,29,8.836096341,12.457347359,"GPS BIII-8  (PRN 21)"
67588,20,29,19.472390071,29.684418817,"GPS BIII-9  (PRN 20)"
68791,13,29,37.197091364,50.072350845,"GPS BIII-10 (PRN 13)"
