seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,26407,22,3,3600.000000000,91.789627198,15010.245341520,-7819.034607546,20858.926567889,2.693364511,2.545349694,-0.968186711,-144.871432953,-16924.059196142,20858.926567889,26861.488882250,0,"GPS BIIR-5  (PRN 22)","2000-040A"
1,27663,16,3,3600.000000000,427.790414397,2550.442015211,18145.114987196,-19769.968132742,-3.408617438,-1.031499014,-1.372735224,17322.671519786,5972.855580801,-19769.968132742,26955.548451871,0,"GPS BIIR-8  (PRN 16)","2003-005A"
2,28190,19,4,3600.000000000,60.000000000,10109.733335009,-21406.529856574,12560.027142411,1.673751069,2.326618634,2.554615159,-14475.411587718,-18732.556898926,12560.027142411,26799.263244042,0,"GPS BIIR-11 (PRN 19)","2004-009A"
3,28474,2,5,3600.000000000,157.816463999,4492.828222588,15497.386429639,21551.432710034,-3.241677746,1.915183757,-0.653199442,15846.640763630,3039.484840511,21551.432710034,26922.457975496,0,"GPS BIIR-13 (PRN 02)","2004-045A"
4,28874,17,4,3600.000000000,161.888798400,14419.143452197,-9921.357174707,20263.154297529,0.808459351,3.554850395,1.214404972,-2286.221180976,-17352.758247460,20263.154297529,26775.743652952,0,"GPS BIIRM-1 (PRN 17)","2005-038A"
5,29486,31,2,3600.000000000,624.714143999,-14117.293209813,18757.407944796,-12434.211360695,-2.824159862,-0.454742828,2.611239862,10294.593246255,21098.807318743,-12434.211360695,26565.916745743,0,"GPS BIIRM-2 (PRN 31)","2006-042A"
6,29601,12,3,3600.000000000,752.877081597,-19102.004480184,-17154.351957339,6536.870335613,2.136580464,-1.177404079,3.022098383,-23960.819190477,9221.578496035,6536.870335613,26493.188558984,0,"GPS BIIRM-3 (PRN 12)","2006-052A"
7,32260,15,1,3600.000000000,1028.923180799,-10557.992706145,-23038.188635411,7419.627206620,1.776108150,-1.833956495,-2.943813235,-25319.940488277,-1062.995415752,7419.627206620,26406.063952604,0,"GPS BIIRM-4 (PRN 15)","2007-047A"
8,32384,29,4,3600.000000000,938.889614399,-14516.135917958,-7430.870309445,-21024.627690730,0.689586318,-3.715244598,0.821309439,-13215.338035522,9554.625903263,-21024.627690730,26607.724537777,0,"GPS BIIRM-5 (PRN 29)","2007-062A"
9,32711,7,2,3600.000000000,443.369572798,22218.393567967,-2872.028246035,-13339.741545884,-1.168424346,2.837828878,-2.479824502,7537.207361492,-21097.299926222,-13339.741545884,26074.015101209,0,"GPS BIIRM-6 (PRN 07)","2008-012A"
10,35752,5,0,3600.000000000,815.125703998,-10574.876997521,-17555.719248601,-17078.276780422,3.264697951,0.012488760,-2.053286988,-20443.789689944,1443.178769840,-17078.276780422,26677.684300499,0,"GPS BIIRM-8 (PRN 05)","2009-043A"
11,36585,25,3,3600.000000000,1054.045766397,-24625.625151404,-8881.135408943,-3993.989065315,0.379823933,-2.303731241,3.105889801,-19100.810993469,17901.256929088,-3993.989065315,26481.086248553,0,"GPS BIIF-1  (PRN 25)","2010-022A"
12,38833,24,2,3600.000000000,3775.384319997,-7508.228976655,-13738.409156269,20914.511201072,3.194442329,-2.281761317,-0.308379949,-15649.874101057,445.902603714,20914.511201072,26125.354873967,0,"GPS BIIF-3  (PRN 24)","2012-053A"
13,39166,27,4,3600.000000000,1092.960052800,-1224.741957853,26524.573562511,-3949.056278156,-2.231295614,-0.523287817,-3.072067091,23071.778438410,13143.288600093,-3949.056278156,26844.888545577,0,"GPS BIIF-4  (PRN 27)","2013-023A"
14,39533,30,2,3600.000000000,372.303239997,22808.034361563,-13162.368281077,-1961.193210845,0.935321061,2.131683525,-3.124791190,-1361.578744685,-26298.297920721,-1961.193210845,26406.450897749,0,"GPS BIIF-5  (PRN 30)","2014-008A"
15,39741,6,5,3600.000000000,690.978566400,20323.124681586,-16137.945319426,-5201.175842696,1.859444158,1.319174555,3.149028235,-5141.341311482,-25436.770342850,-5201.175842696,26467.242132544,0,"GPS BIIF-6  (PRN 06)","2014-026A"
16,40105,9,1,3600.000000000,560.031057600,15169.599470624,4204.575167588,-21512.006465579,-0.168477400,3.805989083,0.620075121,10638.253237439,-11602.705223145,-21512.006465579,26656.361766269,0,"GPS BIIF-7  (PRN 09)","2014-045A"
17,40294,3,0,3600.000000000,747.826857599,20640.878100762,15528.694742445,5761.981834591,-1.883255731,1.297009492,3.144526800,23211.908134526,-11331.086882064,5761.981834591,26464.818983638,0,"GPS BIIF-8  (PRN 03)","2014-068A"
