event_index,event_type,event_time_utc,seconds_from_reference,interval_index,norad_id,prn,route_sector,lineage,minimum_abs_guard,elevation_mask_deg,dut1_seconds,name,object_id
0,acquire,2026-08-16T05:33:23.390746Z,10.697721870,10,26407,22,3,3059553451,0.000025526,10.000000000,0.000000000,"GPS BIIR-5  (PRN 22)","2000-040A"
1,loss,2026-08-16T05:40:53.858380Z,461.165355782,461,45854,23,0,3980631872,0.000018840,10.000000000,0.000000000,"GPS BIII-3  (PRN 23)","2020-041A"
2,acquire,2026-08-16T05:43:43.264003Z,630.570979036,630,40294,3,0,1680279414,0.000051471,10.000000000,0.000000000,"GPS BIIF-8  (PRN 03)","2014-068A"
3,acquire,2026-08-16T06:13:44.140106Z,2431.447081916,2431,28874,17,4,2899681033,0.000049144,10.000000000,0.000000000,"GPS BIIRM-1 (PRN 17)","2005-038A"
4,loss,2026-08-16T06:39:28.376203Z,3975.683178874,3975,39166,27,4,2309650071,0.000037024,10.000000000,0.000000000,"GPS BIIF-4  (PRN 27)","2013-023A"
5,loss,2026-08-16T06:58:21.197644Z,5108.504619919,5108,41019,10,0,569846513,0.000055207,10.000000000,0.000000000,"GPS BIIF-11 (PRN 10)","2015-062A"
6,acquire,2026-08-16T07:36:38.217880Z,7405.524856056,7405,55268,28,2,2832843074,0.000036147,10.000000000,0.000000000,"GPS BIII-6  (PRN 28)","2023-009A"
7,acquire,2026-08-16T07:36:43.811337Z,7411.118312872,7411,28190,19,4,2392646784,0.000012545,10.000000000,0.000000000,"GPS BIIR-11 (PRN 19)","2004-009A"
8,acquire,2026-08-16T07:40:40.759715Z,7648.066690855,7648,43873,4,1,1184216394,0.000008141,10.000000000,0.000000000,"GPS BIII-1  (PRN 04)","2018-109A"
9,loss,2026-08-16T07:46:54.371455Z,8021.678430868,8021,46826,14,3,251578006,0.000026907,10.000000000,0.000000000,"GPS BIII-4  (PRN 14)","2020-078A"
10,loss,2026-08-16T07:48:15.545891Z,8102.852866877,8102,40730,8,4,3608327408,0.000017291,10.000000000,0.000000000,"GPS BIIF-10 (PRN 08)","2015-033A"
11,acquire,2026-08-16T08:08:10.533519Z,9297.840495066,9297,29486,31,2,3046335785,0.000014047,10.000000000,0.000000000,"GPS BIIRM-2 (PRN 31)","2006-042A"
12,loss,2026-08-16T08:16:14.446648Z,9781.753624394,9781,26407,22,3,3500720547,0.000019446,10.000000000,0.000000000,"GPS BIIR-5  (PRN 22)","2000-040A"
13,acquire,2026-08-16T08:32:09.647435Z,10736.954411500,10736,39741,6,5,691124699,0.000005036,10.000000000,0.000000000,"GPS BIIF-6  (PRN 06)","2014-026A"
14,loss,2026-08-16T08:34:48.463370Z,10895.770345879,10895,41328,32,1,857897838,0.000024772,10.000000000,0.000000000,"GPS BIIF-12 (PRN 32)","2016-007A"
15,acquire,2026-08-16T08:43:06.205396Z,11393.512371559,11393,40105,9,1,807936794,0.000058960,10.000000000,0.000000000,"GPS BIIF-7  (PRN 09)","2014-045A"
16,loss,2026-08-16T09:30:43.515534Z,14250.822510196,14250,28474,2,5,3739798122,0.000020438,10.000000000,0.000000000,"GPS BIIR-13 (PRN 02)","2004-045A"
