seed_index,norad_id,object_name,orbit_class,service_class,station_index,station_id,station_name,support_possible,compatible,active,station_orbit_mask,station_service_mask,period_min,perigee_km,apogee_km
0,19548,TDRS 3,GEO,RELAY,0,1001,NL Navigation Profile,0,0,0,MEO,NAV,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,1,1002,NL Science Profile,1,0,0,LEO|HEO,EARTH_OBS|SCIENCE|CREWED,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,2,1003,Svalbard Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,3,1004,Canberra Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,4,1005,Goldstone Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,5,1006,Madrid Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,6,1007,Hawaii Navigation Profile,1,0,0,MEO,NAV,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,7,1008,Singapore Relay Profile,1,1,1,GEO,RELAY,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,8,1009,Cape Town EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,9,1010,Santiago EO Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,10,1011,McMurdo Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,11,1012,Tokyo Science Profile,1,0,0,LEO|MEO|HEO,NAV|SCIENCE|CREWED,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,12,1013,Tromso Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.078581,35629.340392,35943.161484
0,19548,TDRS 3,GEO,RELAY,13,1014,Equatorial Relay Profile,1,1,1,GEO,RELAY,1436.078581,35629.340392,35943.161484
