seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,26407,22,3,302400.000000000,5071.789627198,6608.541416375,-14051.225360242,21849.114795966,3.319598370,1.909578215,0.258552287,6854.383988366,13932.952806792,21849.114795966,26804.730387444,0,"GPS BIIR-5  (PRN 22)","2000-040A"
1,27663,16,3,302400.000000000,5407.790414397,11540.759957293,19503.843776086,-14588.710107606,-3.010452089,0.043473505,-2.346642537,-22441.792435753,-3155.156843081,-14588.710107606,26952.171063527,0,"GPS BIIR-8  (PRN 16)","2003-005A"
2,28190,19,4,302400.000000000,5040.000000000,4767.105250598,-26007.978714210,4727.901197953,2.106893758,0.955628995,3.053029143,17345.936083648,19956.421288675,4727.901197953,26860.627301065,0,"GPS BIIR-11 (PRN 19)","2004-009A"
3,28474,2,5,302400.000000000,5137.816463999,12855.320695939,9151.087385280,21650.037552961,-2.738466203,2.628378725,0.584304571,-15173.179810907,4333.161081053,21650.037552961,26790.404934847,0,"GPS BIIR-13 (PRN 02)","2004-045A"
4,28874,17,4,302400.000000000,5141.888798400,11095.629697449,-18678.972975283,15449.140929657,1.557421791,2.720742777,2.251349785,7669.823896159,20327.095985314,15449.140929657,26658.825654156,0,"GPS BIIRM-1 (PRN 17)","2005-038A"
5,29486,31,2,302400.000000000,5604.714143999,-5443.956122722,18517.408971391,-18418.218445900,-3.397213849,0.644359623,1.707986124,-11070.819776592,-15810.377691697,-18418.218445900,26678.865493135,0,"GPS BIIRM-2 (PRN 31)","2006-042A"
6,29601,12,3,302400.000000000,5732.877081597,-23324.236166033,-12590.773467860,-2056.413514542,0.874087426,-2.063743120,3.155502734,24394.441123990,-10366.234200327,-2056.413514542,26585.266705276,0,"GPS BIIRM-3 (PRN 12)","2006-052A"
7,32260,15,1,302400.000000000,6008.923180799,-14496.027913310,-16208.145450842,14703.539656456,1.004396431,-3.034963567,-2.267962750,21711.122244806,-1210.774582737,14703.539656456,26249.435853902,0,"GPS BIIRM-4 (PRN 15)","2007-047A"
8,32384,29,4,302400.000000000,5918.889614399,-15209.003274514,3104.977987297,-21565.140552766,-0.195445864,-3.843054013,-0.432828154,7065.953591766,-13821.250621589,-21565.140552766,26570.847859380,0,"GPS BIIRM-5 (PRN 29)","2007-062A"
9,32711,7,2,302400.000000000,5423.369572798,23461.552848583,-10296.435541437,-5571.558100227,0.264266403,2.428707411,-3.070768455,-6597.421155060,24757.525745287,-5571.558100227,26220.284258375,0,"GPS BIIRM-6 (PRN 07)","2008-012A"
10,35752,5,0,302400.000000000,5795.125703998,-18455.818433133,-16196.108163699,-10322.736298459,2.421272339,-0.973206166,-2.848141869,24173.038407460,-4312.234668765,-10322.736298459,26636.254210653,0,"GPS BIIRM-8 (PRN 05)","2009-043A"
