seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,26407,22,3,-86400.000000000,-1408.210372802,2960.987441342,-15949.963199122,21296.771969827,3.422758594,1.579225267,0.748783265,-9633.863410401,-13052.105135605,21296.771969827,26771.650472393,0,"GPS BIIR-5  (PRN 22)","2000-040A"
1,27663,16,3,-86400.000000000,-1072.209585603,14615.863996407,19266.137245383,-11858.048061940,-2.719625383,0.466987049,-2.641520358,24056.128028086,2471.887743354,-11858.048061940,26933.637492152,0,"GPS BIIR-8  (PRN 16)","2003-005A"
2,28190,19,4,-86400.000000000,-1440.000000000,2519.928861807,-26718.316149974,1371.846476162,2.186048608,0.373627312,3.121282922,-17803.779302001,-20080.933791141,1371.846476162,26871.926282139,0,"GPS BIIR-11 (PRN 19)","2004-009A"
3,28474,2,5,-86400.000000000,-1342.183536001,15658.127642980,6222.619896172,20747.250695247,-2.422061425,2.795204280,1.067649000,15236.272744638,-7194.021997957,20747.250695247,26727.258951631,0,"GPS BIIR-13 (PRN 02)","2004-045A"
4,28874,17,4,-86400.000000000,-1338.111201600,9314.566936740,-21396.287553642,12781.908412548,1.786933988,2.259232500,2.580253645,-9276.352602781,-21412.883054041,12781.908412548,26607.131768831,0,"GPS BIIRM-1 (PRN 17)","2005-038A"
5,29486,31,2,-86400.000000000,-875.285856001,-1671.961494072,17558.650217151,-20070.637904522,-3.482857166,1.054156312,1.259461515,11689.355581913,13208.354127805,-20070.637904522,26719.508950958,0,"GPS BIIRM-2 (PRN 31)","2006-042A"
6,29601,12,3,-86400.000000000,-747.122918403,-23951.570454208,-10243.385620305,-5486.072310064,0.329400712,-2.328505423,3.067402097,-23835.994214098,10509.522159195,-5486.072310064,26621.451229796,0,"GPS BIIRM-3 (PRN 12)","2006-052A"
7,32260,15,1,-86400.000000000,-471.076819201,-15353.922083933,-12765.218042303,16964.629311737,0.656000278,-3.380749440,-1.886665991,-19809.515465406,2505.356671784,16964.629311737,26200.999269335,0,"GPS BIIRM-4 (PRN 15)","2007-047A"
8,32384,29,4,-86400.000000000,-561.110385601,-14820.029531114,7245.844145176,-20809.939828737,-0.536684420,-3.722326311,-0.931901562,-4822.245489960,15775.977976463,-20809.939828737,26555.397348843,0,"GPS BIIRM-5 (PRN 29)","2007-062A"
9,32711,7,2,-86400.000000000,-1056.630427202,22914.305042932,-12707.651826750,-2192.398054997,0.810555607,2.155596835,-3.163816922,6356.745971159,-25419.314924061,-2192.398054997,26293.657025640,0,"GPS BIIRM-6 (PRN 07)","2008-012A"
