event_index,event_type,event_time_utc,seconds_from_reference,interval_index,station_id,station_name,norad_id,object_name,orbit_route,lineage,minimum_abs_guard
0,loss,2026-08-16T08:15:59.767662Z,9767.074637569,162,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2769835129,0.001018946
1,acquire,2026-08-16T14:24:10.609649Z,31857.916625247,530,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2273680336,0.000245202
2,loss,2026-08-16T19:19:12.593776Z,49559.900751620,825,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2410696412,0.000010592
3,acquire,2026-08-17T05:29:09.035937Z,86156.342913134,1435,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,794083476,0.000309887
4,loss,2026-08-17T08:11:55.399152Z,95922.706127905,1598,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3420651010,0.001363797
5,acquire,2026-08-17T14:20:07.398880Z,118014.705856054,1966,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,1216392341,0.000623172
6,loss,2026-08-17T19:15:10.386695Z,135717.693670938,2261,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,1502198859,0.000246126
7,acquire,2026-08-18T05:25:06.630093Z,172313.937068637,2871,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,4202859204,0.000513522
8,loss,2026-08-18T08:07:51.041147Z,182078.348122678,3034,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,1228531133,0.001708002
9,acquire,2026-08-18T14:16:04.206935Z,204171.513911083,3402,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,76015419,0.000999009
10,loss,2026-08-18T19:11:08.176368Z,221875.483343509,3697,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2316307671,0.000481988
11,acquire,2026-08-19T05:21:04.292491Z,258471.599466515,4307,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,105963809,0.000711190
12,loss,2026-08-19T08:03:46.644124Z,268233.951099634,4470,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,369602376,0.002055459
13,acquire,2026-08-19T14:12:00.950977Z,290328.257952553,4838,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3095608778,0.001382454
14,loss,2026-08-19T19:07:05.858366Z,308033.165341775,5133,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3817127877,0.000729321
15,acquire,2026-08-20T05:17:01.906206Z,344629.213182259,5743,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,348432765,0.000912780
16,loss,2026-08-20T07:59:42.172306Z,354389.479282133,5906,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,815347340,0.002326805
17,acquire,2026-08-20T14:07:57.570132Z,376484.877107908,6274,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,4226084819,0.001780670
18,loss,2026-08-20T19:03:03.360010Z,394190.666985886,6569,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3999125162,0.000995876
19,acquire,2026-08-21T05:12:59.375706Z,430786.682681734,7179,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2135775494,0.001126351
20,loss,2026-08-21T07:55:37.606578Z,440544.913553569,7342,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,2770497960,0.001967002
21,acquire,2026-08-21T14:03:54.030214Z,462641.337190478,7710,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,668039571,0.002197691
22,loss,2026-08-21T18:59:00.644800Z,480347.951775511,8005,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3890846865,0.001285542
23,acquire,2026-08-22T05:08:56.635735Z,516943.942710554,8615,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,1634437194,0.001357390
24,loss,2026-08-22T07:51:32.944316Z,526700.251291997,8778,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3662684659,0.001599393
25,acquire,2026-08-22T13:59:50.324002Z,548797.630978047,9146,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,1351611727,0.002634380
26,loss,2026-08-22T18:54:57.711702Z,566505.018678056,9441,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,3761111514,0.001598426
27,acquire,2026-08-23T05:04:53.654979Z,603100.961954528,10051,1001,NL Navigation Profile,26407,GPS BIIR-5  (PRN 22),3,543903350,0.001608505
28,acquire,2026-08-16T11:48:02.093964Z,22489.400940162,374,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,506410574,0.000581895
29,loss,2026-08-16T13:23:26.139548Z,28213.446523575,470,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3998444469,0.000763643
30,acquire,2026-08-16T23:38:00.660767Z,65087.967743317,1084,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3954011148,0.001330717
31,loss,2026-08-17T04:54:42.228798Z,84089.535774398,1401,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1829283067,0.003463543
32,acquire,2026-08-17T11:43:57.085543Z,108644.392518957,1810,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,486762755,0.000856205
33,loss,2026-08-17T13:19:24.840887Z,114372.147862990,1906,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1842416263,0.000690593
34,acquire,2026-08-17T23:33:59.196460Z,151246.503436207,2520,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3875530667,0.001492751
35,loss,2026-08-18T04:50:39.507673Z,170246.814649340,2837,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3574281543,0.003144191
36,acquire,2026-08-18T11:39:52.316564Z,194799.623539734,3246,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,810396592,0.001116949
37,loss,2026-08-18T13:15:23.353114Z,200530.660089571,3342,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1310511601,0.000606614
38,acquire,2026-08-18T23:29:57.712331Z,237405.019306851,3956,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,817807976,0.001656997
39,loss,2026-08-19T04:46:36.787468Z,256404.094443694,4273,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1992251246,0.002824974
40,acquire,2026-08-19T11:35:47.725549Z,280955.032524978,4682,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,290056174,0.001367485
41,loss,2026-08-19T13:11:21.590446Z,286688.897421658,4778,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,9936419,0.000506806
42,acquire,2026-08-19T23:25:56.103246Z,323563.410221968,5392,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3304154993,0.001835086
43,loss,2026-08-20T04:42:33.985326Z,342561.292301719,5709,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3586907266,0.002496188
44,acquire,2026-08-20T11:31:43.227438Z,367110.534413679,6118,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1924586581,0.001612449
45,loss,2026-08-20T13:07:19.525939Z,372846.832914752,6214,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1262429708,0.000389598
46,acquire,2026-08-20T23:21:54.298197Z,409721.605172689,6828,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1445999869,0.002034878
47,loss,2026-08-21T04:38:31.041532Z,428718.348508443,7145,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,2683677234,0.002150847
48,acquire,2026-08-21T11:27:38.729829Z,453266.036804950,7554,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,689408025,0.001423508
49,loss,2026-08-21T13:03:17.185137Z,459004.492112945,7650,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3973359172,0.000256393
50,acquire,2026-08-21T23:17:52.263996Z,495879.570972487,8264,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3256754846,0.002260050
51,loss,2026-08-22T04:34:27.923554Z,514875.230530120,8581,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1077847349,0.001785157
52,acquire,2026-08-22T11:23:34.145485Z,539421.452461239,8990,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,3295997900,0.001171739
53,loss,2026-08-22T12:59:14.634886Z,545161.941861999,9086,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1322345977,0.000110953
54,acquire,2026-08-22T23:13:50.004082Z,582037.311058459,9700,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,2327370516,0.002510227
55,loss,2026-08-23T04:30:24.626365Z,601031.933341439,10017,1001,NL Navigation Profile,27663,GPS BIIR-8  (PRN 16),3,1029161850,0.001398542
56,acquire,2026-08-16T07:36:37.473187Z,7404.780162955,123,1001,NL Navigation Profile,28190,GPS BIIR-11 (PRN 19),4,1535827874,0.002626613
57,loss,2026-08-16T11:23:27.234322Z,21014.541297504,350,1001,NL Navigation Profile,28190,GPS BIIR-11 (PRN 19),4,2983850670,0.001496478
58,acquire,2026-08-16T17:10:30.488706Z,41837.795682088,697,1001,NL Navigation Profile,28190,GPS BIIR-11 (PRN 19),4,3257019018,0.001815301
