timestamp, utilization_gpu_pct, utilization_memory_pct, memory_used_mib, power_draw_w, temperature_gpu_c, clocks_sm_mhz, clocks_mem_mhz
2026/08/17 08:26:40.905, 0, 0, 612, 6.14, 50, 180, 405
2026/08/17 08:26:41.197, 100, 0, 612, 12.15, 56, 2025, 14001
2026/08/17 08:26:41.506, 100, 0, 612, 12.15, 56, 2025, 14001
2026/08/17 08:26:41.799, 100, 0, 612, 37.38, 58, 2782, 14001
2026/08/17 08:26:42.110, 100, 0, 612, 70.65, 58, 2782, 14001
2026/08/17 08:26:42.416, 100, 0, 612, 70.65, 58, 2782, 14001
2026/08/17 08:26:42.722, 100, 0, 612, 70.85, 59, 2782, 14001
2026/08/17 08:26:43.016, 100, 0, 612, 70.85, 59, 2782, 14001
2026/08/17 08:26:43.325, 100, 0, 612, 70.82, 59, 2782, 14001
2026/08/17 08:26:43.634, 100, 0, 612, 71.25, 59, 2782, 14001
2026/08/17 08:26:43.946, 100, 0, 612, 71.25, 59, 2782, 14001
2026/08/17 08:26:44.254, 100, 0, 612, 71.61, 60, 2782, 14001
2026/08/17 08:26:44.564, 100, 0, 612, 72.75, 60, 2782, 14001
2026/08/17 08:26:44.870, 100, 0, 612, 72.75, 60, 2782, 14001
2026/08/17 08:26:45.178, 100, 0, 612, 73.35, 60, 2782, 14001
2026/08/17 08:26:45.470, 100, 0, 612, 73.35, 60, 2782, 14001
2026/08/17 08:26:45.776, 100, 0, 612, 72.04, 60, 2782, 14001
2026/08/17 08:26:46.069, 100, 0, 612, 71.33, 60, 2782, 14001
2026/08/17 08:26:46.377, 100, 0, 612, 71.33, 60, 2782, 14001
2026/08/17 08:26:46.683, 100, 0, 612, 71.35, 60, 2782, 14001
2026/08/17 08:26:46.992, 100, 0, 612, 71.35, 60, 2782, 14001
2026/08/17 08:26:47.299, 100, 0, 612, 71.23, 60, 2782, 14001
2026/08/17 08:26:47.589, 100, 0, 612, 71.88, 61, 2782, 14001
2026/08/17 08:26:47.897, 100, 0, 612, 71.88, 61, 2782, 14001
2026/08/17 08:26:48.206, 100, 0, 612, 72.64, 61, 2782, 11001
2026/08/17 08:26:48.515, 100, 0, 612, 72.64, 61, 2782, 11001
2026/08/17 08:26:48.825, 100, 0, 612, 71.79, 61, 2782, 14001
2026/08/17 08:26:49.133, 100, 0, 612, 71.19, 61, 2782, 14001
2026/08/17 08:26:49.443, 100, 0, 612, 71.19, 61, 2782, 14001
2026/08/17 08:26:49.741, 100, 0, 612, 73.02, 62, 2782, 11001
2026/08/17 08:26:50.039, 100, 0, 612, 73.33, 62, 2782, 11001
2026/08/17 08:26:50.332, 100, 0, 612, 73.33, 62, 2782, 11001
2026/08/17 08:26:50.623, 100, 0, 612, 71.77, 61, 2782, 9001
2026/08/17 08:26:50.920, 100, 0, 612, 71.77, 61, 2782, 9001
2026/08/17 08:26:51.215, 100, 0, 612, 71.00, 62, 2782, 9001
2026/08/17 08:26:51.513, 100, 0, 612, 71.00, 62, 2782, 9001
2026/08/17 08:26:51.807, 100, 0, 612, 70.47, 62, 2782, 11001
2026/08/17 08:26:52.105, 100, 0, 612, 67.05, 62, 2782, 14001
2026/08/17 08:26:52.402, 100, 0, 612, 67.05, 62, 2782, 14001
2026/08/17 08:26:52.716, 100, 0, 612, 67.48, 62, 2782, 14001
2026/08/17 08:26:53.015, 100, 0, 612, 67.48, 62, 2782, 14001
2026/08/17 08:26:53.309, 100, 0, 612, 71.67, 62, 2782, 14001
2026/08/17 08:26:53.603, 100, 0, 612, 71.79, 62, 2782, 14001
2026/08/17 08:26:53.900, 100, 0, 612, 71.79, 62, 2782, 14001
2026/08/17 08:26:54.195, 100, 0, 612, 72.05, 62, 2782, 14001
2026/08/17 08:26:54.492, 100, 0, 612, 72.05, 62, 2782, 14001
2026/08/17 08:26:54.787, 100, 0, 612, 72.27, 62, 2782, 14001
2026/08/17 08:26:55.082, 100, 0, 612, 73.19, 63, 2782, 14001
2026/08/17 08:26:55.378, 100, 0, 612, 73.19, 63, 2782, 14001
2026/08/17 08:26:55.675, 100, 0, 612, 73.85, 63, 2782, 11001
2026/08/17 08:26:55.973, 100, 0, 612, 73.85, 63, 2782, 11001
2026/08/17 08:26:56.271, 100, 0, 612, 72.32, 63, 2782, 11001
2026/08/17 08:26:56.569, 100, 0, 612, 71.32, 63, 2782, 14001
2026/08/17 08:26:56.864, 100, 0, 612, 71.32, 63, 2782, 14001
2026/08/17 08:26:57.161, 100, 0, 612, 72.06, 63, 2782, 14001
2026/08/17 08:26:57.473, 100, 0, 612, 72.06, 63, 2782, 14001
2026/08/17 08:26:57.784, 100, 0, 612, 72.15, 63, 2782, 14001
2026/08/17 08:26:58.083, 100, 0, 612, 72.00, 63, 2782, 14001
2026/08/17 08:26:58.379, 100, 0, 612, 72.00, 63, 2782, 14001
2026/08/17 08:26:58.673, 100, 0, 612, 73.18, 64, 2782, 11001
2026/08/17 08:26:58.968, 100, 0, 612, 73.18, 64, 2782, 11001
2026/08/17 08:26:59.280, 100, 0, 612, 72.70, 63, 2782, 11001
2026/08/17 08:26:59.576, 100, 0, 612, 71.12, 63, 2782, 11001
2026/08/17 08:26:59.884, 100, 0, 612, 71.12, 63, 2782, 11001
2026/08/17 08:27:00.182, 100, 0, 612, 71.57, 64, 2782, 11001
2026/08/17 08:27:00.479, 100, 0, 612, 71.57, 64, 2782, 11001
2026/08/17 08:27:00.785, 100, 0, 612, 72.55, 64, 2782, 9001
2026/08/17 08:27:01.096, 100, 0, 612, 70.60, 63, 2782, 11001
2026/08/17 08:27:01.398, 100, 0, 612, 70.60, 63, 2782, 11001
2026/08/17 08:27:01.709, 100, 0, 612, 67.60, 64, 2782, 14001
2026/08/17 08:27:02.003, 100, 0, 612, 67.60, 64, 2782, 14001
2026/08/17 08:27:02.299, 100, 0, 612, 69.85, 64, 2782, 11001
2026/08/17 08:27:02.594, 100, 0, 612, 73.75, 64, 2782, 11001
2026/08/17 08:27:02.890, 100, 0, 612, 73.75, 64, 2782, 11001
2026/08/17 08:27:03.186, 100, 0, 612, 71.77, 64, 2782, 11001
2026/08/17 08:27:03.481, 100, 0, 612, 71.77, 64, 2782, 11001
2026/08/17 08:27:03.778, 100, 0, 612, 71.03, 64, 2782, 14001
2026/08/17 08:27:04.075, 100, 0, 612, 71.70, 64, 2782, 14001
2026/08/17 08:27:04.373, 100, 0, 612, 71.70, 64, 2782, 14001
2026/08/17 08:27:04.671, 100, 0, 612, 72.45, 64, 2782, 14001
2026/08/17 08:27:04.966, 100, 0, 612, 72.45, 64, 2782, 14001
2026/08/17 08:27:05.263, 100, 0, 612, 73.08, 64, 2782, 14001
2026/08/17 08:27:05.558, 100, 0, 612, 73.45, 65, 2782, 14001
2026/08/17 08:27:05.856, 100, 0, 612, 73.45, 65, 2782, 14001
2026/08/17 08:27:06.154, 100, 0, 612, 73.98, 65, 2782, 11001
2026/08/17 08:27:06.448, 100, 0, 612, 73.98, 65, 2782, 11001
2026/08/17 08:27:06.745, 100, 0, 612, 73.57, 65, 2782, 9001
2026/08/17 08:27:07.040, 100, 0, 612, 71.65, 65, 2782, 9001
2026/08/17 08:27:07.338, 100, 0, 612, 71.65, 65, 2782, 9001
2026/08/17 08:27:07.636, 100, 0, 612, 70.91, 65, 2782, 9001
2026/08/17 08:27:07.931, 100, 0, 612, 70.91, 65, 2782, 9001
2026/08/17 08:27:08.229, 100, 0, 612, 70.88, 65, 2782, 9001
2026/08/17 08:27:08.524, 100, 0, 612, 70.88, 65, 2782, 9001
2026/08/17 08:27:08.821, 100, 0, 612, 70.69, 65, 2782, 9001
2026/08/17 08:27:09.131, 100, 0, 612, 71.40, 65, 2775, 9001
2026/08/17 08:27:09.441, 100, 0, 612, 71.40, 65, 2775, 9001
2026/08/17 08:27:09.736, 100, 0, 612, 70.78, 65, 2767, 11001
2026/08/17 08:27:10.034, 100, 0, 612, 70.78, 65, 2767, 11001
2026/08/17 08:27:10.330, 100, 0, 612, 66.76, 65, 2767, 14001
2026/08/17 08:27:10.625, 100, 0, 612, 67.93, 65, 2767, 14001
2026/08/17 08:27:10.938, 100, 0, 612, 67.93, 65, 2767, 14001
2026/08/17 08:27:11.234, 100, 0, 612, 73.75, 66, 2767, 11001
2026/08/17 08:27:11.530, 100, 0, 612, 73.75, 66, 2767, 11001
2026/08/17 08:27:11.826, 100, 0, 612, 74.58, 66, 2767, 11001
2026/08/17 08:27:12.123, 100, 0, 612, 72.91, 65, 2767, 11001
2026/08/17 08:27:12.423, 100, 0, 612, 72.91, 65, 2767, 11001
2026/08/17 08:27:12.720, 100, 0, 612, 72.32, 66, 2767, 9001
2026/08/17 08:27:13.017, 100, 0, 612, 72.32, 66, 2767, 9001
2026/08/17 08:27:13.312, 100, 0, 612, 73.11, 66, 2767, 9001
2026/08/17 08:27:13.610, 100, 0, 612, 69.46, 65, 2767, 11001
2026/08/17 08:27:13.906, 100, 0, 612, 69.46, 65, 2767, 11001
2026/08/17 08:27:14.202, 100, 0, 612, 67.05, 65, 2767, 14001
2026/08/17 08:27:14.499, 100, 0, 612, 67.05, 65, 2767, 14001
2026/08/17 08:27:14.795, 100, 0, 612, 70.66, 66, 2767, 14001
