source_id,page,matched_terms,text_chars
S1,1,query;relation;event;phase;double vacuum;hourglass;one-bit;sdf;cone;spherical;polar;lineage;grammar;raster;raymarch;ray march;voxel;compatibility;invariant;phi;parity;projection;state;memory,3554
S1,2,double vacuum;one-bit;cone;spherical;klein;compatibility;topolog;state,1903
S1,3,relation;event;1-bit;sdf;cone;spherical;polar;invariant;collision;parity,1737
S1,4,relation;event;phase;hourglass;spherical;lineage;grammar;collision;identity;state;memory;sieve,1111
S1,5,relation;event;phase;sheet;double vacuum;hourglass;one-bit;1-bit;cone;spherical;lineage;grammar;raster;compatibility;invariant;address;branch;phi;parity;identity;projection;state,2478
S1,6,relation;event;phase;sheet;double vacuum;hourglass;sdf;cone;spherical;polar;lineage;grammar;raster;compatibility;invariant;address;branch;phi;topolog;identity;state;exogenous log,3498
S1,7,relation;event;phase;sheet;hourglass;sdf;cone;spherical;lineage;grammar;raster;lut;compatibility;address;phi;identity;state;exogenous log,2703
S1,8,query;relation;event;phase;cone;lineage;grammar;raster;lut;compatibility;invariant;address;branch;identity;state,2795
S1,9,query;event;one-bit;1-bit;cone;spherical;grammar;raster;raymarch;compatibility;projection;state,3215
S1,10,query;relation;event;sdf;cone;spherical;grammar;raster;raymarch;compatibility;invariant;collision;projection;state;memory,3259
S1,11,query;relation;event;phase;sheet;double vacuum;hourglass;cone;lineage;grammar;compatibility;invariant;address;branch;collision;phi;identity;state;memory,2847
S1,12,query;relation;event;spherical;lineage;grammar;compatibility;invariant;identity;state;memory,1651
S2,1,double vacuum,1499
S2,2,double vacuum;phi,1576
S2,3,relation;lut,1416
S2,4,lut,755
S2,5,,433
S2,6,double vacuum;information;state,1815
S2,7,double vacuum;klein;lut;phi;state,1935
S2,8,klein;liquid;topolog,1708
S2,9,double vacuum;klein,191
S2,10,klein;lut;invariant;topolog;state,1774
S2,11,klein;parity;topolog,2215
S2,12,event;phase;1-bit;cone;spherical;polar;klein;ray march;voxel;lut;log encoded;phi;topolog;memory,2393
S2,13,phase;1-bit;sdf;cone;spherical;polar;klein;lut;collision;log-polar;topolog,1906
S2,14,event;phase;double vacuum;1-bit;cone;spherical;polar;klein;raster;ray march;voxel;lut;vector;log-polar;phi;topolog;state,2266
S2,15,event;phase;double vacuum;1-bit;cone;polar;klein;voxel;log-polar;topolog;state;memory,2339
S2,16,phase;1-bit;sdf;cone;polar;klein;raster;ray march;lut;feynman;vector;collision;log-polar;phi;parity;topolog;identity;state,2235
S2,17,query;event;phase;1-bit;sdf;cone;spherical;polar;klein;voxel;lut;vector;collision;log-polar;state;memory,1901
S2,18,event;phase;double vacuum;1-bit;sdf;cone;polar;klein;lut;vector;log-polar;topolog;state,2286
S2,19,relation;event;phase;1-bit;sdf;polar;vector;log-polar;identity;state,2101
S2,20,vector;identity;state,2617
S2,21,hourglass;polar;lut;vector,2342
S2,22,phase;double vacuum;1-bit;sdf;polar;klein;lut;vector;invariant;log-polar;topolog;state,2688
S2,23,double vacuum;hourglass;sdf;spherical;polar;klein;raster;ray march;vector;invariant;log-polar;state,2010
S2,24,sheet;double vacuum;hourglass;1-bit;sdf;cone;polar;klein;feynman;vector;invariant;log-polar;topolog;identity;state,2926
S2,25,event;phase;sheet;hourglass;1-bit;sdf;cone;vector;invariant;topolog;state,2000
S2,26,hourglass;1-bit;sdf;polar;klein;grammar;voxel;lut;vector;log-polar;topolog;state;memory,2095
S2,27,event;phase;hourglass;1-bit;sdf;cone;polar;grammar;vector;branch;log-polar;state;memory,2665
S2,28,phase;hourglass;polar;klein;grammar;lut;vector;ccd;collision;log-polar;phi;memory,1899
S2,29,phase;hourglass;1-bit;sdf;cone;polar;lut;vector;collision;log-polar;identity;state;memory,2457
S2,30,query;event;phase;1-bit;sdf;cone;grammar;lut;ccd;topolog;state;memory;sieve,2128
S2,31,phase;hourglass;1-bit;sdf;polar;lut;collision;log-polar;state;memory;sieve,2636
S2,32,phase;sheet;hourglass;grammar;raster;ray march;voxel;ccd;state;memory;sieve,1803
